"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Paul Mitchell The School-Farmington Hills","27590 Orchard Lake Road, Farmington Hills, Michigan 48334-1300","paulmitchell.edu/farmingtonhills","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","125","125","100%","NA","2015-16","$18,877","Cosmetology/Cosmetologist, General","484093","04230200"
"Paul Mitchell the School-Grand Rapids","2855 29th Street SE Suite B, Kentwood, Michigan 49512-1781","paulmitchell.edu/grandrapids","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","96","96","73%","NA","2015-16","$12,088","Cosmetology/Cosmetologist, General","172680","04230500"
"Paul Mitchell the School-Great Lakes","2950 Lapeer Road, Port Huron, Michigan 48060","paulmitchell.edu/porthuron","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","80","80","71%","NA","2015-16","$13,522","Cosmetology/Cosmetologist, General","446288","03907300"
"Paul Mitchell the School-Lansing","125 North Clippert Street, Lansing, Michigan 48912-4686","paulmitchell.edu/lansing/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","44","44","100%","NA","2015-16","$20,777","Cosmetology/Cosmetologist, General","484118","04230400"
"Paul Mitchell the School-Michigan","40688 Van Dyke Ave, Sterling Heights, Michigan 48313","paulmitchell.edu/sterlingheights","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","183","183","71%","NA","2015-16","$13,362","Cosmetology/Cosmetologist, General","449977","02531806"
"Port Huron Cosmetology College","5620 Dixie Hwy, Waterford, Michigan 48329","www.michigancollegeofbeauty.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","47","47","26%","NA","2015-16","$10,529","Cosmetology/Cosmetologist, General","171775","00894600"
"Princess Beauty School","25861 Ford Road, Suite A, Dearborn Heights, Michigan 48127-2999","www.princessbeautyschool.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","20","20","89%","NA","2015-16","$12,550","Cosmetology/Cosmetologist, General","486327","04231800"
"Protege Academy","4960 Northwind Dr., East Lansing, Michigan 48823-8660","www.protegeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","41","41","50%","NA","2015-16","$11,090","Cosmetology/Cosmetologist, General","461944","04184700"
"Protege Academy","4884 E Pickard St, Mt. Pleasant, Michigan 48858-2058","www.protegeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","29","29","77%","NA","2015-16","$9,394","Cosmetology/Cosmetologist, General","487083","04184701"
"Rochester College","800 West Avon Road, Rochester Hills, Michigan 48307","www.rc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","1098","1065","37%","NA","Fall 2012","$16,281","-","170967","00228800"
"Ross Medical Education Center - Kalamazoo","5177 West Main Street, Suite A, Kalamazoo, Michigan 49009-1003","www.rosseducation.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","72","72","NA","NA","2015-16","$19,591","Medical/Clinical Assistant","490814","02099708"
